broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance	test_family
BRD-K82122102-323-01-1	amfenac	cyclooxygenase inhibitor	PTGS1, PTGS2	14	15	-0.394703805092	-0.828721761697	0.434017956605	0.0576308209162481	1.0	cyclooxygenase inhibitor ptgs1, ptgs2	other	BH across all 4,686 tested PRISM compounds
BRD-K66850609-001-07-4	voglibose	glucosidase inhibitor	MGAM	15	15	0.0792866577712	-0.35487745631	0.4341641140812	0.0563923642268315	1.0	glucosidase inhibitor mgam	other	BH across all 4,686 tested PRISM compounds
BRD-K95581532-001-01-5	RN-1734	TRPV antagonist	TRPV4	15	15	-0.0073145825259	-0.446251740358	0.4389371578321	0.0014040790204992	1.0	trpv antagonist trpv4	other	BH across all 4,686 tested PRISM compounds
BRD-A73908300-001-06-7	EX-527	SIRT inhibitor	SIRT1	16	15	0.0996248833537	-0.339864876851	0.4394897602047	0.0186755858242513	1.0	sirt inhibitor sirt1	other	BH across all 4,686 tested PRISM compounds
BRD-A16700644-003-04-4	isoxsuprine	adrenergic receptor agonist	ADRB2	15	15	-0.258336531698	-0.698540421837	0.440203890139	0.1465760343090006	1.0	adrenergic receptor agonist adrb2	other	BH across all 4,686 tested PRISM compounds
BRD-K47832606-001-30-1	floxuridine	DNA synthesis inhibitor	TYMS	15	14	-0.82732274186	-1.27088823182	0.4435654899599999	0.6784245040488326	1.0	dna synthesis inhibitor tyms	other	BH across all 4,686 tested PRISM compounds
BRD-K15766189-001-09-8	cefdinir	bacterial cell wall synthesis inhibitor	MPO	15	15	-0.0405557212331	-0.484518513993	0.4439627927599	0.2454850012031242	1.0	bacterial cell wall synthesis inhibitor mpo	other	BH across all 4,686 tested PRISM compounds
BRD-K18850819-001-04-6	MK-0752	gamma secretase inhibitor		16	15	-0.2956367425314999	-0.739848307496	0.4442115649645	0.0167809419329088	1.0	gamma secretase inhibitor 	other	BH across all 4,686 tested PRISM compounds
BRD-K92428232-001-10-6	GSK461364	PLK inhibitor	PLK1	15	15	-2.27125806506	-2.71550972897	0.4442516639099998	0.9338864180775844	1.0	plk inhibitor plk1	other	BH across all 4,686 tested PRISM compounds
BRD-K79584249-001-01-3	CGM097	MDM inhibitor	MDM2	15	15	0.455387581057	0.0108823771733	0.4445052038837	0.2808420108662984	1.0	mdm inhibitor mdm2	other	BH across all 4,686 tested PRISM compounds
BRD-K03243820-001-25-3	trifluridine	DNA directed DNA polymerase inhibitor, thymidylate synthase inhibitor	TYMS	14	15	-0.03947424814145	-0.484806245324	0.44533199718255	0.615737058040257	1.0	dna directed dna polymerase inhibitor, thymidylate synthase inhibitor tyms	other	BH across all 4,686 tested PRISM compounds
BRD-K36740062-001-06-6	GSK1070916	Aurora kinase inhibitor	AURKA, AURKB, AURKC, CYP2D6, CYP3A4	15	15	0.141638325822	-0.304095608578	0.4457339344	0.3614963660708982	1.0	aurora kinase inhibitor aurka, aurkb, aurkc, cyp2d6, cyp3a4	other	BH across all 4,686 tested PRISM compounds
BRD-K38852836-001-02-1	ganetespib	HSP inhibitor	HSP90AA1	16	15	-2.29514761161	-2.74192086577	0.44677325416	0.8588186957821996	1.0	hsp inhibitor hsp90aa1	other	BH across all 4,686 tested PRISM compounds
BRD-K15424032-001-03-6	SB-228357	serotonin receptor antagonist	HTR2A, HTR2B, HTR2C	14	15	0.20594365487	-0.240852553218	0.446796208088	0.0771336684412056	1.0	serotonin receptor antagonist htr2a, htr2b, htr2c	other	BH across all 4,686 tested PRISM compounds
BRD-K36711084-001-02-0	cyromazine			15	15	-0.44069397125	-0.888183956269	0.447489985019	0.081494648393455	1.0	 	other	BH across all 4,686 tested PRISM compounds
BRD-K49555808-001-03-9	BMS-707035	HIV integrase inhibitor		14	15	-0.5310005653695	-0.981360041304	0.4503594759345	0.4194324996066613	1.0	hiv integrase inhibitor 	other	BH across all 4,686 tested PRISM compounds
BRD-K51318897-001-15-3	fenbendazole	tubulin polymerization inhibitor	TUBB	14	13	-1.35409504338	-1.80668064061	0.4525855972299999	0.827142619238411	1.0	tubulin polymerization inhibitor tubb	other	BH across all 4,686 tested PRISM compounds
BRD-K94176593-001-09-4	TWS-119	glycogen synthase kinase inhibitor	GSK3B, JUN, MYC	15	14	0.0138463898192	-0.438869753043	0.4527161428622	0.0424148805378999	1.0	glycogen synthase kinase inhibitor gsk3b, jun, myc	other	BH across all 4,686 tested PRISM compounds
BRD-K44408410-001-17-6	2-methoxyestradiol	hypoxia inducible factor inhibitor	COMT, CYP19A1, CYP1A1, CYP1B1, HIF1A, TUBB	16	15	0.3328705867335	-0.120146866559	0.4530174532925	0.7368768981757916	1.0	hypoxia inducible factor inhibitor comt, cyp19a1, cyp1a1, cyp1b1, hif1a, tubb	other	BH across all 4,686 tested PRISM compounds
BRD-K57169635-001-04-5	dacomitinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	15	15	0.0734267038965	-0.381362966963	0.4547896708594999	0.0279250573533074	1.0	egfr inhibitor egfr, erbb2, erbb4	other	BH across all 4,686 tested PRISM compounds
BRD-K52911425-001-09-8	GDC-0941	PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG	16	15	0.0080931350247	-0.447435575964	0.4555287109887	0.395401747198846	1.0	pi3k inhibitor pik3ca, pik3cb, pik3cd, pik3cg	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-K26838195-075-04-9	AST-1306	EGFR inhibitor	EGFR, ERBB2	15	15	-0.0925366957692	-0.548086624576	0.4555499288068	0.081494648393455	1.0	egfr inhibitor egfr, erbb2	other	BH across all 4,686 tested PRISM compounds
BRD-K64538373-001-01-4	Ro-4987655	MEK inhibitor	MAP2K1	15	15	-0.999880272478	-1.45999036657	0.460110094092	0.4553018964198552	1.0	mek inhibitor map2k1	other	BH across all 4,686 tested PRISM compounds
BRD-K19540840-001-09-4	saracatinib	src inhibitor	ABL1, LCK, SRC, YES1	16	15	-0.0616047136704999	-0.525029625719	0.4634249120485	0.4890954478935938	1.0	src inhibitor abl1, lck, src, yes1	other	BH across all 4,686 tested PRISM compounds
BRD-K00938507-001-17-8	sulfamethoxypyridazine	bacterial antifolate		15	15	0.290226079321	-0.174276844946	0.4645029242669999	0.0679957504350691	1.0	bacterial antifolate 	other	BH across all 4,686 tested PRISM compounds
BRD-K13409143-001-01-9	isopropyl-myristate			14	13	0.1134231479828	-0.355406027053	0.4688291750358	0.2541343816613656	1.0	 	other	BH across all 4,686 tested PRISM compounds
BRD-K78960041-001-05-7	oxaliplatin	DNA inhibitor		14	13	0.0458241543235	-0.424829640858	0.4706537951815	0.9419738351432534	1.0	dna inhibitor 	other	BH across all 4,686 tested PRISM compounds
BRD-K71512533-066-02-8	SNS-314	Aurora kinase inhibitor	AURKA, AURKB, AURKC	15	14	-0.973162055448	-1.447534217175	0.474372161727	0.2474542907647755	1.0	aurora kinase inhibitor aurka, aurkb, aurkc	other	BH across all 4,686 tested PRISM compounds
